standard_id,layer_id,CODIGO__MUESTRA,n_params,violation_score_0_100,severity_score_0_100,risk_score_0_100,critical_violation_flag,created_at,standard_code,layer_code
1,1,18693,2,57.14,50.0,55.0,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18699,2,100.0,21.78,76.53,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18700,2,100.0,55.73,86.72,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18701,2,100.0,58.44,87.53,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18702,2,100.0,58.3,87.49,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18705,2,100.0,53.99,86.2,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18706,2,100.0,59.28,87.78,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18707,2,57.14,56.87,57.06,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18710,2,57.14,46.94,54.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18711,2,0.0,0.0,0.0,0,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18712,2,57.14,56.9,57.07,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18716,2,57.14,56.54,56.96,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18717,2,57.14,56.23,56.87,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18718,2,100.0,60.31,88.09,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18719,2,57.14,56.83,57.05,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18722,2,100.0,58.21,87.46,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18723,2,100.0,59.56,87.87,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18724,2,57.14,56.86,57.06,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18726,2,57.14,55.14,56.54,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18759,2,57.14,54.37,56.31,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18765,2,100.0,60.67,88.2,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18774,2,100.0,41.58,82.47,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18775,2,57.14,52.46,55.74,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18776,2,57.14,54.99,56.5,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18778,2,100.0,47.73,84.32,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18779,2,100.0,53.21,85.96,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18780,2,57.14,53.28,55.98,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,18781,2,57.14,53.86,56.16,1,2026-02-25 17:23:54,CO_2115,SANITARY
