CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,risk_DISCHARGE_CO_0631,risk_SANITARY_CO_2115,risk_SANITARY_EPA,critical_violation_any,sanitary_epa_minus_co
11582,2005-04-29 00:00:00,RCA_CGA.ZAPATOZA_CES_CHIMICHAGUA_SALOA [25027140],CESAR,CHIMICHAGUA,9.2497222,-73.806666666,0.0,95.95,95.59,1,-0.35999999999999943
11583,2005-04-18 00:00:00,RCA_SALDANA_TOL_SALDANA_PIEDRAS DE COBRE [22057010],TOLIMA,SALDAÑA,3.90865,-75.104,33.1,56.76,56.75,1,-0.00999999999999801
11591,2005-05-01 00:00:00,RCA_CESAR_CES_EL PASO_PTE.CANOAS [28037090],CESAR,EL PASO,9.648193,-73.646367,38.57,98.78,98.75,1,-0.030000000000001137
11618,2005-05-03 00:00:00,RCA_CAUCA_VAL_CANDELARIA_JUANCHITO [26067010],VALLE DEL CAUCA,CANDELARIA,3.45160833,-76.47538333,32.22,56.7,56.69,1,-0.010000000000005116
11619,2005-05-03 00:00:00,RCA_NEIVA_HUI_CAMPOALEGRE_PTE.MULAS [21107020],HUILA,CAMPOALEGRE,2.566388889,-75.37427778,0.0,55.84,55.78,1,-0.060000000000002274
11623,2005-04-26 00:00:00,RCA_VAUPES_VAU_MITU_MITU [42077020],VAUPES,MITÚ,1.259806,-70.239167,0.0,80.38,75.74,1,-4.640000000000001
11706,2005-05-07 00:00:00,RCA_GUAYURIBA_MET_VILLAVICENCIO_PTE.CARRETERA [35027140],META,VILLAVICENCIO,4.04947,-73.76442,33.28,57.03,57.03,1,0.0
11715,2005-05-24 00:00:00,RCA_BOGOTA_CUN_VILLAPINZON_PTE.CARRETERA-BOGOTA,CUNDINAMARCA,VILLAPINZÓN,5.218611,-73.595556,0.0,47.06,41.56,1,-5.5
11716,2005-05-24 00:00:00,RCA_BOGOTA_CUN_VILLAPINZON_SANPEDRO-BOGOTA,CUNDINAMARCA,VILLAPINZÓN,5.194722222,-73.61388889,0.0,85.09,85.56,1,0.46999999999999886
11717,2005-05-24 00:00:00,RCA_BOGOTA_CUN_TOCANCIPA_PTE.TULIO BOTERO-BOGOTA,CUNDINAMARCA,TOCANCIPÁ,4.971916667,-73.91613889,0.0,55.36,55.24,1,-0.11999999999999744
