NOMBRE DEL PUNTO DE MONITOREO,n_samples,sanitary_mean,discharge_mean,critical_rate_pct,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,sanitary_rank,discharge_rank
RCA_CHIVOR_CUN_UBALA_UBALA [35067030],54.0,64.6687037037037,17.92425925925926,94.44444444444444,4.780222222,-73.49183333,CUNDINAMARCA,UBALÁ,24.0,84.0
RCA_CHULO_BOY_TUTA_PILAS LAS [24037250],43.0,52.528372093023265,27.7146511627907,95.34883720930233,5.666666667,-73.26666667,BOYACÁ,TUTA,181.0,40.0
RCA_CLARO_CAL_VILLAMARIA_CLARO [26157060],10.0,27.083000000000006,3.133,60.0,5.0,-75.55,CALDAS,VILLAMARIA,236.0,188.0
RCA_CLARO_CAL_VILLAMARIA_PTE.LA FONDA [23057701],7.0,17.937142857142856,0.0,42.857142857142854,4.870222222,-75.402361111,CALDAS,VILLAMARIA,240.0,214.0
RCA_COELLO_TOL_SAN LUIS_PAYANDE [21217070],43.0,52.63441860465117,23.78302325581395,100.0,4.3013407,-75.0903693,TOLIMA,SAN LUIS,180.0,54.0
RCA_COMBEIMA_TOL_IBAGUE_MONTEZUMA [21217180],35.0,51.34916666666667,7.253055555555556,97.22222222222221,4.4819444,-75.28611111,TOLIMA,IBAGUÉ,192.0,156.0
RCA_CRAVO SUR_CAS_YOPAL_PTE.YOPAL [35217010],44.0,54.216136363636366,16.60022727272727,95.45454545454545,5.369,-72.41372222,CASANARE,YOPAL,159.0,90.0
RCA_CUSIANA_BOY_PAJARITO_PAJARITO [35197190],15.0,48.24399999999999,11.044,86.66666666666667,5.283472222,-72.70194444,BOYACÁ,PAJARITO,212.0,128.0
RCA_CUSIANA_CAS_MANI_MANI [35197180],43.0,59.16581395348837,18.96302325581395,97.67441860465115,4.817,-72.29138889,CASANARE,MANÍ,69.0,77.0
RCA_DE ORO_SAN_GIRON_PALOGORDO [23197690],9.0,54.45777777777778,7.203333333333333,100.0,6.969166667,-73.13055556,SANTANDER,GIRÓN,157.0,157.0
RCA_DE ORO_SAN_PIEDECUESTA_CONQUISTADOR EL [23197430],30.0,55.10166666666667,4.261,96.66666666666667,6.989444444,-73.04111111,SANTANDER,PIEDECUESTA,143.0,182.0
RCA_DE ORO_SAN_PIEDECUESTA_PIEDECUESTANA [2319700100],7.0,53.07571428571429,4.6814285714285715,100.0,6.993072222,-73.035469444,SANTANDER,PIEDECUESTA,175.0,173.0
RCA_FONCE_SAN_SAN GIL_SAN GIL [24027010],38.0,59.01736842105263,12.947105263157894,100.0,6.546666667,-73.12805556,SANTANDER,SAN GIL,72.0,114.0
RCA_FRIO_MAG_ZONA BANANERA_FRIO [29067070],12.0,34.07076923076924,0.0,69.23076923076923,10.903945,-74.147716,MAGDALENA,CIÉNAGA,229.0,214.0
RCA_FUNDACION_MAG_FUNDACION_FUNDACION [29067120],23.0,52.816521739130444,8.29565217391304,86.95652173913044,10.525085,-74.182576,MAGDALENA,FUNDACIÓN,178.0,147.0
RCA_GARAGOA_BOY_GARAGOA_CARACOL EL [35077120],12.0,56.598333333333336,10.968333333333334,91.66666666666666,5.056861111,-73.39033333,BOYACÁ,GARAGOA,107.0,130.0
RCA_GUAMUES_NAR_PASTO_LA COCHA [47017020],41.0,20.304761904761904,0.0,47.61904761904761,0.989722222,-77.15722222,NARIÑO,PASTO,239.0,214.0
RCA_GUARINO_TOL_HONDA_PTE.CARRETERA [23027060],35.0,56.25171428571429,22.81571428571429,100.0,5.289277778,-74.74608333,TOLIMA,HONDA,114.0,59.0
RCA_GUATIQUIA_MET_VILLAVICENCIO_PTE.ABADIA [35037100],37.0,55.38945945945947,20.357567567567568,97.2972972972973,4.235333333,-73.63536111,META,VILLAVICENCIO,138.0,69.0
